index,ticker,name,in_date,in_source,out_date,out_source
코스닥 150,267980,매일유업,2018-06-15,log,2025-12-12,log
코스닥 150,067630,HLB생명과학,2018-06-28,log,2025-03-26,log
코스닥 150,174900,앱클론,2018-06-28,log,2018-12-14,log
코스닥 150,052710,아모텍,2018-08-30,log,2018-12-14,log
코스닥 150,010170,대한광통신,2018-12-14,log,2019-12-13,log
코스닥 150,029960,코엔텍,2018-12-14,log,2023-12-15,log
코스닥 150,038500,삼표시멘트,2018-12-14,log,2023-12-15,log
코스닥 150,045100,한양이엔지,2018-12-14,log,2020-06-12,log
코스닥 150,045390,대아티아이,2018-12-14,log,2022-06-10,log
코스닥 150,052020,에스티큐브,2018-12-14,log,2021-06-11,log
코스닥 150,067160,SOOP,2018-12-14,log,,
코스닥 150,092730,네오팜,2018-12-14,log,2021-06-11,log
코스닥 150,140410,메지온,2018-12-14,log,2026-03-20,log
코스닥 150,183490,엔지켐생명과학,2018-12-14,log,2022-06-10,log
코스닥 150,215200,메가스터디교육,2018-12-14,log,,
코스닥 150,218410,RFHIC,2018-12-14,log,,
코스닥 150,044340,위닉스,2019-03-12,log,2021-12-10,log
코스닥 150,032500,케이엠더블유,2019-03-22,log,,
코스닥 150,074600,원익QnC,2019-04-10,log,2019-12-13,log
코스닥 150,041140,넥슨지티,2019-06-14,log,2020-06-12,log
코스닥 150,060150,인선이엔티,2019-06-14,log,2023-12-15,log
코스닥 150,095190,이엠코리아,2019-06-14,log,2020-06-12,log
코스닥 150,122990,와이솔,2019-06-14,log,2021-12-10,log
코스닥 150,192440,슈피겐코리아,2019-06-14,log,2021-12-10,log
코스닥 150,196170,알테오젠,2019-06-14,log,,
코스닥 150,217730,강스템바이오텍,2019-06-14,log,2020-06-12,log
코스닥 150,226950,올릭스,2019-06-14,log,2019-12-13,log
코스닥 150,247540,에코프로비엠,2019-06-14,log,,
코스닥 150,263050,유틸렉스,2019-06-14,log,2021-12-10,log
코스닥 150,278280,천보,2019-06-14,log,,
코스닥 150,298380,에이비엘바이오,2019-06-14,log,,
코스닥 150,265520,AP시스템,2019-08-21,log,2022-12-09,log
코스닥 150,086820,바이오솔루션,2019-10-18,log,2019-12-13,log
코스닥 150,033640,네패스,2019-12-13,log,2025-06-13,log
코스닥 150,036540,SFA반도체,2019-12-13,log,,
코스닥 150,047310,파워로직스,2019-12-13,log,2020-12-11,log
코스닥 150,048410,현대바이오,2019-12-13,log,,
코스닥 150,060250,NHN KCP,2019-12-13,log,,
코스닥 150,061970,LB세미콘,2019-12-13,log,2024-06-14,log
코스닥 150,078130,국일제지,2019-12-13,log,2023-04-06,log
코스닥 150,097520,엠씨넥스,2019-12-13,log,2021-07-30,synthetic
코스닥 150,138080,오이솔루션,2019-12-13,log,2022-06-10,log
코스닥 150,143240,사람인에이치알,2019-12-13,log,2021-06-11,log
코스닥 150,178320,서진시스템,2019-12-13,log,,
코스닥 150,214150,클래시스,2019-12-13,log,,
코스닥 150,215000,골프존,2019-12-13,log,2021-06-11,log
코스닥 150,228760,지노믹트리,2019-12-13,log,2020-12-11,log
코스닥 150,230360,에코마케팅,2019-12-13,log,2022-06-10,log
코스닥 150,239610,에이치엘사이언스,2019-12-13,log,2021-06-11,log
코스닥 150,243840,신흥에스이씨,2019-12-13,log,2021-06-11,log
코스닥 150,088800,에이스테크,2020-03-25,log,2023-06-09,log
코스닥 150,082920,비츠로셀,2020-03-26,log,2021-06-11,log
코스닥 150,119860,커넥트웨이브,2020-03-27,log,2022-06-10,log
코스닥 150,102710,이엔에프테크놀로지,2020-04-22,log,2023-06-09,log
코스닥 150,018290,브이티,2020-06-12,log,2021-06-11,log
코스닥 150,032190,다우데이타,2020-06-12,log,,
코스닥 150,038540,상상인,2020-06-12,log,2023-12-15,log
코스닥 150,041190,우리기술투자,2020-06-12,log,2020-12-11,log
코스닥 150,052260,현대바이오랜드,2020-06-12,log,2021-06-11,log
코스닥 150,060720,KH바텍,2020-06-12,log,2024-12-13,log
코스닥 150,078020,이베스트투자증권,2020-06-12,log,2022-12-09,log
코스닥 150,078070,유비쿼스홀딩스,2020-06-12,log,2021-12-10,log
코스닥 150,084370,유진테크,2020-06-12,log,,
코스닥 150,084850,아이티엠반도체,2020-06-12,log,2025-12-12,log
코스닥 150,085660,차바이오텍,2020-06-12,log,,
